Area swiggy,Restaurant city swiggy,Restaurant,Price swiggy,Ratings swiggy,Total ratings,Food type swiggy,Customer address swiggy,Delivery time swiggy,_c0,restaurant type,Ratings zomato,Total ratings zomato,Price zomato,online_order,table booking,Food type zomato,Area zomato,Address zomato
Kankurgachi,Kolkata,Hoppipola,1500.0,4.2,20,"Fast Food,Combo,Salads,Pizzas,Italian,Continental,European,Mediterranean,Desserts",Maniktala Main Road,61,2633,Lounge,4.3,1703,1300.0,Yes,No,"Continental, Mediterranean, European",Brigade Road,Church Street
Ashok Nagar,Bangalore,Hoppipola,600.0,2.9,80,"Fast Food,Combo,Salads,Pizzas,Italian,Continental,European,Mediterranean,Desserts",Church Street,34,2633,Lounge,4.3,1703,1300.0,Yes,No,"Continental, Mediterranean, European",Brigade Road,Church Street
Park Street Area,Kolkata,Sher-E-Punjab,500.0,4.3,100,"North Indian,Chinese",Opposite Kala Mandir,55,5408,Quick Bites,3.1,22,400.0,Yes,No,"North Indian, Chinese",Koramangala 5th Block,BTM
Kolkata,Kolkata,Just Baked,250.0,2.9,80,Desserts  Bakery  Sweets,Near Birla High School,54,3088,Bakery,3.4,11,400.0,No,No,"Bakery, Desserts",Frazer Town,Frazer Town
Behra Enclave Paschim Vihar,Delhi,Pakwan,300.0,3.7,1000,"Mughlai,North Indian,Chinese",Garg Plaza,46,4568,Casual Dining,4.1,289,800.0,Yes,Yes,"North Indian, Chinese, Italian",Malleshwaram,Sadashiv Nagar
Powai Area,Mumbai,Mahesh Lunch Home,900.0,4.3,100,"Seafood,Chinese,Mangalorean,Biryani",Powai Area,58,3725,Casual Dining,4.1,860,1400.0,Yes,Yes,"Seafood, Mangalorean, North Indian, Chinese",Brigade Road,Residency Road
Entally,Kolkata,Zam Zam Restaurant,200.0,4.4,1000,"Mughlai,Biryani",Near Frank Anothony Public School,46,7073,Quick Bites,3.1,7,400.0,No,No,"Chinese, North Indian",Kalyan Nagar,Banaswadi
Koramangala,Bangalore,China Pearl,1100.0,4.5,1000,"Chinese,Asian",6Th Block,64,1431,Casual Dining,4.1,155,1100.0,Yes,No,"Chinese, Momos",Kalyan Nagar,Kalyan Nagar
Koramangala,Bangalore,Cafe Medley,450.0,3.6,20,"Desserts,American,Continental,Italian,Bakery,Beverages",5Th Block,65,1116,Cafe,4.2,1059,800.0,Yes,No,"Cafe, Continental, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Pulikeshi Nagar,Bangalore,Aroma Of Asia,400.0,4.2,100,Chinese,Adams Corner,45,432,Quick Bites,3.9,49,400.0,No,No,"Chinese, Momos",MG Road,Frazer Town
Taltala,Kolkata,Barista,350.0,4.1,20,"Beverages,Snacks,Desserts",Humayun Place,45,614,Cafe,3.2,11,300.0,No,No,Cafe,Indiranagar,CV Raman Nagar
Chembur,Mumbai,Barista,350.0,4.3,50,"Beverages,Snacks,Desserts,Cafe",Garden Appartment,47,614,Cafe,3.2,11,300.0,No,No,Cafe,Indiranagar,CV Raman Nagar
Khairtabad,Hyderabad,Barista,350.0,2.9,80,"Beverages,Snacks",Prasad I Max,58,614,Cafe,3.2,11,300.0,No,No,Cafe,Indiranagar,CV Raman Nagar
New Nallakunta,Hyderabad,Pista House,200.0,4.3,1000,"Bakery,Pizzas,Snacks,Desserts",Chikkadapalli Road,30,4720,Casual Dining,4.0,334,,No,No,"North Indian, Biryani",Frazer Town,Frazer Town
Ashok Nagar,Bangalore,Leon Grill,400.0,4.4,1000,"Arabian,Beverages,Desserts,American",St Mark'S Rd,32,3578,Quick Bites,4.0,334,500.0,Yes,No,"Fast Food, Healthy Food",Malleshwaram,New BEL Road
Selimpur,Kolkata,Marhaba,400.0,4.2,50,"Mughlai,Indian,Tandoor,Biryani",Opp. Jodhpur Park Post Office,81,3808,Casual Dining,3.6,42,600.0,Yes,No,"Arabian, Mediterranean, North Indian",Kalyan Nagar,Nagawara
South Dumdum,Kolkata,Food Junction,300.0,4.0,500,"Indian,Chinese,Tandoor,Biryani,Combo,Snacks",Near Uco Bank (Dakshinpara Branch),81,2180,Quick Bites,3.5,42,400.0,No,No,"North Indian, Chinese, Street Food, Biryani","Byresandra,Tavarekere,Madiwala",BTM
Koramangala,Bangalore,Royal Treat,193.0,4.1,500,"North Indian,Chinese,Seafood,Biryani",5Th Block Koramangala,54,5108,Casual Dining,4.1,435,500.0,No,No,"North Indian, Chinese, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Shivaji Nagar,Bangalore,Eden Park,1000.0,4.2,100,"North Indian,Chinese,Seafood,Andhra,Biryani,Desserts,Jain,Mughlai,South Indian,Coastal,Beverages",Central Bangalore,36,2001,Casual Dining,4.1,612,1100.0,Yes,Yes,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",Brigade Road,Cunningham Road
Jayanagar,Bangalore,Cakewala,450.0,4.3,100,Desserts,Jayanagar,51,1201,Bakery,4.1,230,500.0,Yes,No,"Bakery, Desserts","Byresandra,Tavarekere,Madiwala",JP Nagar
Malleswaram,Bangalore,Chung Wah,700.0,4.0,500,"Chinese,Snacks",Vyalikawal,49,1484,Casual Dining,2.5,73,800.0,No,No,"Chinese, Momos",Whitefield,"ITPL Main Road, Whitefield"
Beniapukur,Kolkata,Sanjha Chulha,400.0,4.4,100,"North Indian,Biryani,Indian,Chinese",Opp. Ladies Park,57,5261,Casual Dining,4.0,152,800.0,Yes,Yes,"North Indian, Pizza, Fast Food",Brookefield,Marathahalli
Rohini,Delhi,Firangi Bake,400.0,4.1,50,"Italian,Mexican,Pastas",Sector 8,46,2106,Delivery,3.8,53,600.0,Yes,No,"Mexican, Italian",Rajajinagar,Rajajinagar
Central Banglore,Bangalore,California Burrito,250.0,4.5,1000,"Mexican,American,Salads,Continental,Keto,Healthy Food",Vasanth Nagar,35,1211,Food Court,3.3,9,400.0,No,No,"Mexican, Fast Food",Jayanagar,JP Nagar
Aundh,Pune,Tea Trails,350.0,2.9,80,Continental,Westend Mall,74,6149,Cafe,2.8,40,600.0,Yes,No,"Continental, Tea, Fast Food, Italian",Koramangala 4th Block,HSR
Seshadripuram,Bangalore,24/7 - The Lalit Ashok Bangalore,600.0,3.7,20,"American,Asian,Chinese,Continental,North Indian,Pan-Asian",Malleshwaram,55,30,Fine Dining,4.0,344,3000.0,No,Yes,"Continental, North Indian, Italian, Chinese",Malleshwaram,Seshadripuram
Koramangala,Bangalore,The Rendezvous,600.0,4.0,20,"Continental,Italian,Indian,Chinese",80Ft Road Koramangala,70,6512,Casual Dining,3.7,483,800.0,Yes,No,"Continental, Steak, Chinese, Salad, Desserts, Seafood, Italian","Byresandra,Tavarekere,Madiwala",Koramangala 4th Block
Shankarapura,Bangalore,Little Cafe,300.0,3.7,20,"Beverages,Chinese,Continental,Desserts,Ice Cream,Italian,Jain",National High School Road,48,3606,Cafe,3.7,54,600.0,Yes,No,"Cafe, Beverages",Banashankari,Basavanagudi
Koramangala,Bangalore,Little Kolkata,300.0,4.1,20,"North Indian,Bengali,Chinese",5Th Block,59,3611,Quick Bites,3.9,96,500.0,Yes,No,"Bengali, North Indian",Koramangala 6th Block,Ejipura
Bandra East,Mumbai,Subway,350.0,4.3,100,Fast Food  Salads  Snacks  Desserts  Beverages,The Capital Bandra Kurla Complex,37,5903,Food Court,3.6,12,600.0,Yes,No,"Salad, Fast Food",Bellandur,Bellandur
Sivanchetti Gardens,Bangalore,Monsoon,700.0,4.5,20,"Andhra,Asian,Bengali,Biryani,Chettinad,Coastal,Continental,Desserts,Fast Food,Italian,Mughlai,North Indian,Pan-Asian,Seafood,South Indian",M.G Road,50,4011,Food Court,2.8,11,1000.0,No,No,Continental,Bellandur,Bellandur
Himayatnagar,Hyderabad,Burger King,350.0,4.2,1000,American  Fast Food,Mpm Millennium Mall,35,1016,Food Court,3.5,21,600.0,No,No,"Burger, Fast Food, Beverages",Bellandur,Bellandur
Ashok Nagar,Bangalore,Toscano,1200.0,4.3,100,"Italian,Pizzas,Pastas,Continental,Salads,Desserts,Beverages,Combo",Central Bangalore,39,6672,Casual Dining,4.2,1038,1500.0,Yes,Yes,"Italian, Salad",Whitefield,Whitefield
Indiranagar,Bangalore,Salt Mango Tree,300.0,4.2,100,"Kerala,South Indian,Seafood,Biryani,Indian",Indiranagar,54,5204,Casual Dining,4.1,243,800.0,Yes,Yes,Kerala,Indiranagar,Indiranagar
Paikpara,Kolkata,Ice & Spice,300.0,3.9,100,"Indian,Chinese,Biryani,North Indian,Combo,Beverages,Desserts",Near Satyanarayan Mistana Bhandar,66,2872,"Takeaway, Delivery",3.0,96,650.0,Yes,No,"Continental, Pizza, Fast Food",Brigade Road,Frazer Town
Chembur,Mumbai,The J,300.0,4.4,100,"American,Fast Food,Snacks,Desserts",Chembur,45,6398,Quick Bites,4.0,133,450.0,Yes,No,"Fast Food, Beverages",Indiranagar,Church Street
Nungambakkam,Chennai,The Table,350.0,4.5,50,Desserts,Nungambakkam,55,6559,Bakery,3.8,42,400.0,Yes,No,"Bakery, Desserts",Old Airport Road,Indiranagar
Kalighat,Kolkata,Drunken Monkey,250.0,4.2,50,"Healthy Food,Beverages,Juices",On Manohar Pukur Crossing,70,1934,"Beverage Shop, Quick Bites",3.1,14,400.0,Yes,No,"Beverages, Fast Food",Indiranagar,CV Raman Nagar
Santacruz East,Mumbai,Firangi Bake,400.0,2.9,80,"Italian,Mexican,Pastas",Ground Floor Swastik Industrial Estate 178 Vidya Nagri Marg,41,2106,Delivery,3.8,53,600.0,Yes,No,"Mexican, Italian",Rajajinagar,Rajajinagar
Shaniwar Peth,Pune,Firangi Bake,400.0,4.4,20,"Italian,Mexican,Pastas",Beside Vinayak Jewellers,38,2106,Delivery,3.8,53,600.0,Yes,No,"Mexican, Italian",Rajajinagar,Rajajinagar
Koramangala,Bangalore,Chaska Bun,178.0,4.4,100,Street Food,Koramangala,57,1331,Quick Bites,4.2,166,300.0,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Koramangala,Bangalore,Dice N Dine,500.0,4.0,500,"American,Asian,Chinese,Continental,Desserts,Italian,Jain,Mexican",Jyothi Nivas College Road,57,1850,"Casual Dining, Cafe",4.3,1800,900.0,Yes,Yes,"Continental, Cafe, Italian, Fast Food, Steak","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Benson Town,Bangalore,7 Plates,350.0,4.3,500,"Biryani,Chinese,North Indian",Frazer Town,48,63,Casual Dining,3.5,531,600.0,Yes,No,"North Indian, Mughlai, Rolls, Fast Food",Kammanahalli,Kalyan Nagar
Kilpauk,Chennai,Subway,350.0,4.4,1000,"Fast Food,Salads,Snacks,Desserts,Beverages",Kilpauk,48,5903,Food Court,3.6,12,600.0,Yes,No,"Salad, Fast Food",Bellandur,Bellandur
Ramdev Nagar,Ahmedabad,Mainland China,900.0,4.3,50,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Gulmohar Park,46,3728,Casual Dining,4.3,881,1700.0,Yes,Yes,"Chinese, Momos",Basavanagudi,Jayanagar
Gandhi Nagar,Bangalore,Hotel Karavali Beach,300.0,2.9,80,Seafood,Malleshwaram,47,2702,Casual Dining,3.5,19,500.0,Yes,No,"Seafood, Mangalorean, Chinese",Malleshwaram,Seshadripuram
Navrangpura,Ahmedabad,The Chocolate Room,400.0,3.8,20,"Desserts,Beverages,Pizzas,Snacks,Fast Food",Navrangpura,34,6291,Cafe,2.8,43,600.0,Yes,No,"Cafe, Beverages",Electronic City,Electronic City
Ellisbridge,Ahmedabad,Behrouz Biryani,500.0,4.2,100,"Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts",Panchvati Ellis Bridge,33,664,Delivery,3.9,114,650.0,Yes,No,Biryani,MG Road,Residency Road
Kondhwa,Pune,Jashn,500.0,4.0,100,"Indian,Chinese,Italian,American",Salunkhe Vihar Road,66,3019,Casual Dining,3.7,132,750.0,Yes,No,North Indian,Bellandur,Marathahalli
Adugodi,Bangalore,Salt - Indian Restaurant Bar & Grill,1300.0,4.4,100,"North Indian,Biryani,Thalis,Desserts",Koramangala,56,5202,Casual Dining,4.4,677,1500.0,Yes,Yes,"North Indian, Mughlai, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
Triplicane,Chennai,Five Star Chicken,350.0,2.9,80,Fast Food,Royepettah,46,2130,Quick Bites,2.7,45,300.0,No,No,"Fast Food, Burger",Koramangala 4th Block,Koramangala 6th Block
Ellisbridge,Ahmedabad,Cafe Coffee Day,300.0,4.4,100,"Beverages,Snacks,Desserts",Inside Hari Om Towers,32,1085,Cafe,2.3,30,900.0,No,No,"Cafe, Fast Food",Brookefield,Brookefield
Ellisbridge,Ahmedabad,Firangi Bake,400.0,4.2,20,"Italian,Mexican,Pastas",Animesh Complex,38,2106,Delivery,3.8,53,600.0,Yes,No,"Mexican, Italian",Rajajinagar,Rajajinagar
Kankurgachi,Kolkata,Soul Cafe,250.0,2.9,80,"Italian,Bakery",Beside Apollo Hospital,60,5627,Cafe,3.9,314,800.0,No,Yes,"Cafe, Continental, Italian",Church Street,MG Road
Pulikeshi Nagar,Bangalore,The Deagh,500.0,4.1,500,"Indian,Chinese,Mughlai,Seafood",Mm Road,46,6311,Quick Bites,3.7,58,500.0,No,No,"Chinese, North Indian, Arabian",Frazer Town,Frazer Town
Navrangpura,Ahmedabad,Subway,350.0,4.0,100,"Fast Food,Healthy Food,Salads,Snacks,Desserts,Beverages",Mithakali,29,5903,Food Court,3.6,12,600.0,Yes,No,"Salad, Fast Food",Bellandur,Bellandur
Sion,Mumbai,Chef Kitchen,500.0,3.8,20,"Indian,Chinese",Sion,59,1363,Quick Bites,3.7,19,200.0,Yes,No,"North Indian, Biryani, Charcoal Chicken",New BEL Road,New BEL Road
Ashok Nagar,Bangalore,Nagarjuna,600.0,4.4,1000,"Andhra,South Indian,Biryani,Combo,Beverages,Desserts",Residency Road,32,4124,Casual Dining,4.2,970,800.0,No,No,"Andhra, Biryani",Marathahalli,Marathahalli
Poongavanapuram,Chennai,Lassi Shop,100.0,3.9,20,Beverages,Periamet,30,3531,Beverage Shop,3.3,10,200.0,Yes,No,"Beverages, Ice Cream",Residency Road,Seshadripuram
Koramangala,Bangalore,Tall Blonde French,250.0,4.2,20,"American,European",Koramangala,56,6047,Quick Bites,3.6,82,400.0,Yes,No,Fast Food,Marathahalli,Brookefield
Shivajinagar,Pune,Burger King,350.0,4.2,1000,"American,Fast Food",The Pavillion Mall,54,1016,Food Court,3.5,21,600.0,No,No,"Burger, Fast Food, Beverages",Bellandur,Bellandur
Karve Nagar,Pune,Malabar,400.0,3.9,100,"North Indian,Chinese",Kothrud,56,3736,Casual Dining,3.0,159,400.0,Yes,No,South Indian,Indiranagar,Jeevan Bhima Nagar
Santacruz East,Mumbai,Rolls Mania,200.0,4.2,100,"Indian,Fast Food",Scruz Bandra East - Mumbai,36,5067,Quick Bites,3.7,32,450.0,Yes,No,"Fast Food, Rolls","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
Ashok Nagar,Bangalore,Cafe Azzure,1000.0,2.9,80,"American,Italian",Central Bangalore - Bangalore,47,1072,Cafe,4.2,559,1200.0,Yes,Yes,"Cafe, Continental, Italian, Burger",Kalyan Nagar,Kalyan Nagar
Ashok Nagar,Bangalore,The Rice Bowl,450.0,4.2,100,Chinese,Lavelle Road,36,6518,"Casual Dining, Bar",4.3,500,1300.0,Yes,Yes,"Chinese, Momos",Brigade Road,Lavelle Road
Koramangala,Bangalore,Pipabu,250.0,4.0,500,"Pizzas,Italian,American,Continental,Salads,Desserts",4Th Block,59,4719,Casual Dining,3.6,76,750.0,Yes,No,"Continental, Italian, Chinese",Koramangala 7th Block,Koramangala 4th Block
Jayanagar,Bangalore,Chung Wah Opus,300.0,3.8,100,"Chinese,Pan-Asian",Jayanagar East,47,1486,Casual Dining,3.0,57,650.0,Yes,No,"Chinese, Thai",Bannerghatta Road,JP Nagar
Seshadripuram,Bangalore,Richie Rich,500.0,4.4,500,"Desserts,Snacks,Chaat,Ice Cream",4Th Phase Yelahanka,36,5027,"Dessert Parlor, Quick Bites",4.0,624,450.0,Yes,No,"Desserts, Beverages, Fast Food, Ice Cream",Brigade Road,Race Course Road
Elgin,Kolkata,Monkey Bar,1000.0,4.2,50,"North Indian,American,European,Asian",Camac Street,58,4010,Pub,4.3,3848,1400.0,Yes,No,"American, Asian, European, North Indian",Indiranagar,Indiranagar
Teynampet,Chennai,Ente Keralam,750.0,4.5,100,Kerala,Kasturi Estate,58,2027,Casual Dining,4.0,1095,1300.0,Yes,No,"Kerala, Seafood",Indiranagar,Ulsoor
Bkc,Mumbai,Chai Point,150.0,4.2,500,"Bakery,Combo,Beverages,Maharashtrian,Snacks,Street Food,South Indian,Punjabi,Fast Food",Bandra Kurla Complex,35,1291,Beverage Shop,3.8,94,250.0,Yes,No,"Fast Food, Beverages",Marathahalli,Marathahalli
Koregaon Park,Pune,Yummy Momos,200.0,2.9,80,Chinese,Lane No.5 Kp,53,7053,Kiosk,3.2,4,200.0,Yes,No,"Chinese, Tibetan, Fast Food",Basavanagudi,JP Nagar
Malleshwaram,Bangalore,Tasty Paradise,330.0,3.9,100,"Andhra,Chinese,Mughlai,North Indian,Seafood",Seshadipuram,52,6122,Casual Dining,3.7,98,550.0,Yes,No,"North Indian, Mughlai, Chinese, Beverages",Lavelle Road,Malleshwaram
Navrangpura,Ahmedabad,Pizza Hut,350.0,4.0,100,"Fast Food,Pizzas",Navrangpura,35,4729,Casual Dining,2.7,434,750.0,Yes,No,"Pizza, Fast Food",Kalyan Nagar,Kalyan Nagar
Koramangala,Bangalore,Lot Like Crepes,600.0,4.4,50,"Desserts,Continental,Cafe,Fast Food",Koramangala 7Th Block,56,3632,"Cafe, Dessert Parlor",4.6,1024,550.0,Yes,No,"Cafe, Desserts, Continental",Jayanagar,Koramangala 7th Block
Domlur,Bangalore,Le Gateau - The Cake Shop,400.0,4.3,100,Desserts,1St Cross Domlur Layout,66,3562,Delivery,4.4,535,600.0,Yes,No,"Desserts, Bakery",Indiranagar,Old Airport Road
Shivaji Nagar,Bangalore,Imperial Restaurant,400.0,4.2,100,"Arabian,Chinese,Desserts,Mughlai,North Indian,Seafood,South Indian",Shivajinagar,33,2907,Casual Dining,2.9,238,800.0,Yes,No,"North Indian, Chinese, Biryani, Kebab, Juices",Frazer Town,Shivajinagar
Nagole,Hyderabad,The Chocolate Room,500.0,3.7,50,Desserts,Arunodaya Nagar Colony,76,6291,Cafe,2.8,43,600.0,Yes,No,"Cafe, Beverages",Electronic City,Electronic City
Pulikeshi Nagar,Bangalore,Lazio Steaks & More,800.0,4.5,100,"Steakhouse,Pastas,American,Pizzas,Italian,Desserts,Chinese",Frazer Town,54,3548,Casual Dining,3.9,118,1000.0,Yes,No,"Continental, Chinese, Steak",Brigade Road,Frazer Town
Banjara Hills,Hyderabad,Waffle House,400.0,3.9,20,Cafe  Desserts  Beverages,Raod No 12,55,6913,Dessert Parlor,3.5,29,,No,No,Desserts,Marathahalli,Marathahalli
Nungambakkam,Chennai,Drunken Monkey,400.0,4.2,100,"Healthy Food,Beverages,Juices",Sterling Road,56,1934,"Beverage Shop, Quick Bites",3.1,14,400.0,Yes,No,"Beverages, Fast Food",Indiranagar,CV Raman Nagar
Navrangpura,Ahmedabad,Mirch Masala,700.0,4.2,50,"Indian,Mughlai",C G Road,38,3960,Quick Bites,3.4,6,500.0,Yes,No,North Indian,Bannerghatta Road,JP Nagar
Khokhra,Ahmedabad,Masala Kitchen,450.0,4.2,50,"Indian,Chinese,Continental",Mani Nagar,54,3830,Casual Dining,3.0,4,700.0,No,No,North Indian,Lavelle Road,Brigade Road
Purasaiwakkam,Chennai,Ritz,650.0,2.9,80,"North Indian,Chinese",Egmore,39,5038,Casual Dining,3.5,43,800.0,No,No,"North Indian, Chinese, Thai, Continental",Electronic City,Electronic City
Ejipura,Bangalore,Momo Rice Noodles,350.0,4.2,100,"Chinese,Thai",Koramangala,56,3997,Casual Dining,3.8,221,400.0,Yes,No,"Chinese, Momos",Indiranagar,Ejipura
Shivaji Nagar,Bangalore,Utse Kitchen,500.0,4.2,100,"Chinese,Tibetan,Nepalese,Pan-Asian",Commercial Street,51,6806,Casual Dining,4.2,171,800.0,Yes,No,"Nepalese, Tibetan, Momos",Indiranagar,Commercial Street
George Town,Chennai,Dindigul Thalappakatti,400.0,3.9,100,"Biryani,Barbecue,South Indian,Chinese,North Indian",N.S.C Bose Road,50,1866,Casual Dining,2.8,40,800.0,Yes,No,"Biryani, Chinese, North Indian, South Indian",Brigade Road,MG Road
Ashok Nagar,Bangalore,Chung Wah,800.0,4.3,100,Chinese,Residency Cross Road,38,1484,Casual Dining,2.5,73,800.0,No,No,"Chinese, Momos",Whitefield,"ITPL Main Road, Whitefield"
Ashok Nagar,Bangalore,Brik Oven,1000.0,4.5,100,"Pizzas,Italian,Desserts,Beverages",Church Street,35,971,Cafe,2.8,40,1100.0,No,No,"Cafe, Pizza, Beverages",Indiranagar,Indiranagar
Purasaiwakkam,Chennai,Ibaco,800.0,4.7,50,"Ice Cream,Desserts",Purasaiwalkam,35,2868,Dessert Parlor,3.6,39,300.0,Yes,No,Desserts,Malleshwaram,Rajajinagar
Rajajinagar,Bangalore,Sri Maruthi Miltry Hotel,250.0,3.8,500,"Biryani,South Indian,Combo",Rajajinagar,57,5782,Quick Bites,3.8,94,300.0,Yes,No,South Indian,Malleshwaram,Rajajinagar
Jayanagar,Bangalore,Andhra Ruchulu,500.0,4.2,100,"Andhra,Chettinad,Chinese,Desserts,North Indian,Seafood",3Rd Block,47,359,Casual Dining,4.2,1428,800.0,Yes,Yes,"Andhra, North Indian",Bannerghatta Road,JP Nagar
Koramangala,Bangalore,Khawa Karpo,178.0,4.6,100,Chinese,Koramangala,53,3310,Quick Bites,4.3,988,350.0,No,No,"Chinese, Tibetan, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Punjagutta,Hyderabad,The Belgian Waffle Co.,200.0,4.5,100,Desserts  Beverages,Next Galleria Mall,66,6221,Dessert Parlor,3.7,15,350.0,Yes,No,"Desserts, Beverages",New BEL Road,Sahakara Nagar
Indiranagar,Bangalore,Maravanthe,800.0,4.3,100,Seafood,Indiranagar,54,3806,Casual Dining,3.5,12,650.0,Yes,No,"Mangalorean, Seafood",Brigade Road,Brigade Road
Kalighat,Kolkata,Kolkata Kitchen,300.0,4.2,20,"Indian,Chinese",Hazra,75,3389,Quick Bites,3.2,231,400.0,Yes,No,"North Indian, Fast Food, Biryani",Electronic City,Electronic City
Anna Nagar,Chennai,Kings Kitchen,249.0,2.9,80,"Chinese,Kebabs,North Indian",Annanagar,67,3338,Delivery,3.3,7,500.0,Yes,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
Bandra Area,Mumbai,Blue Tokai Coffee Roasters,800.0,4.8,100,"Healthy Food,American,Lebanese,Mediterranean,European,Juices,Middle Eastern",Bandra Area,41,885,Cafe,2.8,40,400.0,Yes,No,"Cafe, Coffee","Byresandra,Tavarekere,Madiwala",Koramangala 8th Block
Seshadripuram,Bangalore,Happy Hours,300.0,2.9,80,"Desserts,Beverages",Old Bridge Road,53,2542,"Cafe, Dessert Parlor",3.8,24,400.0,No,No,"Cafe, Desserts",Malleshwaram,Seshadripuram
Ashok Nagar,Bangalore,Amadora Gourmet Ice Cream & Sorbet,450.0,4.5,20,Desserts,Ub City,33,256,Dessert Parlor,2.8,40,500.0,No,No,Desserts,Brookefield,Whitefield
Ashok Nagar,Bangalore,Sweet Chariot,50.0,2.9,80,Desserts,Brigade Road,36,6003,Bakery,2.7,19,500.0,No,No,"Bakery, Fast Food",New BEL Road,New BEL Road
Old Malakpet,Hyderabad,Karachi Bakery,400.0,4.2,100,"Bakery,Pizzas,Fast Food,Chinese,Italian,American,Sweets,Desserts,Beverages",Saleem Nagar,38,3209,Bakery,2.8,40,400.0,No,No,"Bakery, Desserts",Church Street,Frazer Town
Subhash Nagar Petrol Pump,Delhi,Momos Corner,300.0,4.2,500,"Chinese,Pan-Asian",Jail Road,70,4001,Quick Bites,3.1,15,250.0,No,No,"Chinese, Rolls, Momos",HSR,Bommanahalli
Uttam Nagar,Delhi,Rolls Mania,200.0,3.6,20,Beverages,Main Najafgarh Road,75,5067,Quick Bites,3.7,32,450.0,Yes,No,"Fast Food, Rolls","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
Bandra Area,Mumbai,Copper Chimney,800.0,4.2,50,"North Indian,Indian,Biryani,Punjabi,Kebabs,Grill,Mughlai,Desserts",Bandra Area,42,1574,Casual Dining,4.1,40,1200.0,Yes,Yes,"North Indian, Biryani",Whitefield,Whitefield
Banjara Hills,Hyderabad,Chai Point,150.0,4.2,500,"Bakery,Combo,Beverages,Maharashtrian,Snacks,Street Food,South Indian,Punjabi,Fast Food",Gvk Mall,57,1291,Beverage Shop,3.8,94,250.0,Yes,No,"Fast Food, Beverages",Marathahalli,Marathahalli
West Mambalam,Chennai,Fnp Cakes 'N' More,200.0,3.7,50,Desserts,Ashok Nagar,71,2159,Bakery,2.8,40,150.0,No,No,Bakery,Malleshwaram,Malleshwaram
Koramangala,Bangalore,Sardarji Londonwaley,350.0,4.0,500,"Indian,North Indian,Punjabi,Chinese,Biryani",Koramangala,55,5288,Delivery,2.8,40,450.0,No,No,North Indian,Bannerghatta Road,Bannerghatta Road
Anna Nagar,Chennai,Ambur Star Briyani,500.0,4.3,1000,Biryani,Near Tower Park,58,294,Casual Dining,3.6,17,500.0,Yes,No,"North Indian, Chinese, Biryani",Indiranagar,Indiranagar
Bandra Area,Mumbai,Toast & Tonic,900.0,2.9,80,"European,Continental",Bandra Area,51,6662,Casual Dining,4.6,1082,1500.0,No,Yes,"European, Asian",Brigade Road,Richmond Road
Pulikeshi Nagar,Bangalore,Sharief Bhai,400.0,4.1,1000,"Biryani,North Indian,Kebabs,Mughlai,Grill,Fast Food,Beverages,Combo,Sweets,Desserts",M.M Road,48,5391,Casual Dining,4.3,267,700.0,No,Yes,"Mughlai, Biryani",Frazer Town,Frazer Town
Vyasarpadi,Chennai,Meat And Eat,400.0,4.2,100,Fast Food,Perambur,48,3884,Quick Bites,2.8,39,500.0,Yes,No,"Fast Food, Burger",Bellandur,Sarjapur Road
Koramangala,Bangalore,Madeena Hotel,250.0,4.1,1000,"Biryani,Mughlai,Indian,Beverages",5Th Block Kormangala,54,3694,Quick Bites,3.9,50,400.0,Yes,No,"North Indian, Mughlai, Biryani",Bannerghatta Road,Bannerghatta Road
Camp,Pune,Mahesh Lunch Home,900.0,4.2,100,"Seafood,Indian,Chinese",Camp Area,34,3725,Casual Dining,4.1,860,1400.0,Yes,Yes,"Seafood, Mangalorean, North Indian, Chinese",Brigade Road,Residency Road
Athwa,Surat,Subway,350.0,4.2,100,"Fast Food,Healthy Food,Salads,Snacks,Desserts,Beverages",Ghod Dod Road,30,5903,Food Court,3.6,12,600.0,Yes,No,"Salad, Fast Food",Bellandur,Bellandur
Seshadripuram,Bangalore,Mama Mia!,200.0,2.9,80,"Desserts,Ice Cream",Kumara Park,51,3762,Dessert Parlor,3.9,111,400.0,Yes,No,"Desserts, Cafe",Lavelle Road,Seshadripuram
Piplod,Surat,Kathi Junction,200.0,4.2,100,"Indian,Mughlai,North Indian,Combo",Safal Square Vesu,55,3239,Quick Bites,2.8,44,400.0,Yes,No,"Rolls, North Indian, Mughlai",Electronic City,Electronic City
Basavanagudi,Bangalore,Bombay Kulfis,100.0,4.7,100,"North Indian,Desserts,Fast Food",Banashankari Stage I,37,906,Dessert Parlor,3.3,4,200.0,No,No,Ice Cream,Indiranagar,Indiranagar
